,OR1,OR2,distance,similarity,Class1,Class2,Same_Class
23901,Olfr1480,Olfr1491,1.0817395322664272,0.360387717044081,5,10,NA
23902,Olfr1484,Olfr1491,4.1810255667374525,0.396729013238168,5,10,NA
23903,Olfr1487,Olfr1491,3.120610913712225,0.405166206974977,5,10,NA
23904,Olfr1489,Olfr1491,12.530318152800572,0.401604604914402,5,10,NA
23905,Olfr1490,Olfr1491,5.391999064012373,0.497591806045953,10,10,10
23906,Olfr1444,Olfr1493-ps1,9.87520266622044,0.364693210002712,5,,NA
23907,Olfr1446,Olfr1493-ps1,12.509931018910903,0.392952623996688,5,,NA
23908,Olfr1447,Olfr1493-ps1,3.823547444807706,0.386399116724638,5,,NA
23909,Olfr1448,Olfr1493-ps1,12.727909387342121,0.366610689091936,5,,NA
23910,Olfr1450,Olfr1493-ps1,1.9383535936030314,0.371688031584652,5,,NA
23911,Olfr1454,Olfr1493-ps1,18.093726087438867,0.379395494537692,5,,NA
23912,Olfr1458,Olfr1493-ps1,6.674348058652317,0.366450028788068,,,NA
23913,Olfr1459,Olfr1493-ps1,3.399694105711852,0.373143327626568,5,,NA
23914,Olfr1461,Olfr1493-ps1,15.999321678015304,0.374399539688055,5,,NA
23915,Olfr1463,Olfr1493-ps1,16.35218650659967,0.362249171929348,5,,NA
23916,Olfr1466,Olfr1493-ps1,13.7589207526636,0.355363477771184,5,,NA
23917,Olfr1467,Olfr1493-ps1,5.051926098217524,0.382783804972077,5,,NA
23918,Olfr1469,Olfr1493-ps1,4.321702613951077,0.365116906472649,5,,NA
23919,Olfr1471,Olfr1493-ps1,16.042802964817245,0.390245609927467,5,,NA
23920,Olfr1472,Olfr1493-ps1,18.889226241682245,0.378876976810144,5,,NA
23921,Olfr1474,Olfr1493-ps1,6.199447364379265,0.396182843680233,5,,NA
23922,Olfr1477,Olfr1493-ps1,18.889226241682245,0.381522214773552,5,,NA
23923,Olfr1480,Olfr1493-ps1,4.633099231407976,0.350269784439764,5,,NA
23924,Olfr1484,Olfr1493-ps1,5.410011459355825,0.405650072731275,5,,NA
23925,Olfr1487,Olfr1493-ps1,6.549975531573529,0.393824903604155,5,,NA
23926,Olfr1489,Olfr1493-ps1,15.624158990646762,0.397690077059289,5,,NA
23927,Olfr1490,Olfr1493-ps1,1.0986585098779844,0.892032333554303,10,,NA
23928,Olfr1491,Olfr1493-ps1,5.212770829193108,0.498188454235447,10,,NA
23929,Olfr1444,Olfr1494,11.770444238884323,0.413840925737003,5,10,NA
23930,Olfr1446,Olfr1494,10.987460127776163,0.396298379220008,5,10,NA
23931,Olfr1447,Olfr1494,8.290332899934878,0.399021137898054,5,10,NA
23932,Olfr1448,Olfr1494,11.262332051858625,0.422972491682208,5,10,NA
23933,Olfr1450,Olfr1494,4.348454277083372,0.427514326630561,5,10,NA
23934,Olfr1454,Olfr1494,14.194351333183125,0.3758486899834,5,10,NA
23935,Olfr1458,Olfr1494,6.77944761922645,0.375343890458826,,10,NA
23936,Olfr1459,Olfr1494,8.369307963514476,0.383310418324906,5,10,NA
23937,Olfr1461,Olfr1494,10.995305812433678,0.401252366396089,5,10,NA
23938,Olfr1463,Olfr1494,13.954451033970859,0.389092151573997,5,10,NA
23939,Olfr1466,Olfr1494,9.972885630087319,0.380452036166713,5,10,NA
23940,Olfr1467,Olfr1494,9.555970775414185,0.389202945938458,5,10,NA
23941,Olfr1469,Olfr1494,3.795806932463817,0.378926114170032,5,10,NA
23942,Olfr1471,Olfr1494,13.41974233859027,0.414017333506775,5,10,NA
23943,Olfr1472,Olfr1494,14.390666469437637,0.392699540635615,5,10,NA
23944,Olfr1474,Olfr1494,2.581126948068347,0.428673989565345,5,10,NA
23945,Olfr1477,Olfr1494,14.390666469437637,0.413478501184507,5,10,NA
23946,Olfr1480,Olfr1494,1.0817395322664272,0.377756971224162,5,10,NA
23947,Olfr1484,Olfr1494,4.1810255667374525,0.41188063861025,5,10,NA
23948,Olfr1487,Olfr1494,3.120610913712225,0.423976487561464,5,10,NA
23949,Olfr1489,Olfr1494,12.530318152800572,0.421034193050252,5,10,NA
23950,Olfr1490,Olfr1494,5.391999064012373,0.509005077223256,10,10,10
23951,Olfr1491,Olfr1494,0.0,0.897937063440231,10,10,10
23952,Olfr1493-ps1,Olfr1494,5.212770829193108,0.509058590505179,,10,NA
23953,Olfr1444,Olfr1495,4.8253579675339875,0.381509436301462,5,10,NA
23954,Olfr1446,Olfr1495,6.948629041568771,0.380896854696843,5,10,NA
23955,Olfr1447,Olfr1495,4.961278159091999,0.383048822210858,5,10,NA
23956,Olfr1448,Olfr1495,7.120734872593344,0.381755294987538,5,10,NA
23957,Olfr1450,Olfr1495,7.357186931491855,0.397735790176013,5,10,NA
23958,Olfr1454,Olfr1495,14.130056524960132,0.381044381079663,5,10,NA
23959,Olfr1458,Olfr1495,1.1586468876786122,0.369464992459478,,10,NA
23960,Olfr1459,Olfr1495,6.0766165816003435,0.382880313297178,5,10,NA
23961,Olfr1461,Olfr1495,14.33057681254004,0.393221755933895,5,10,NA
23962,Olfr1463,Olfr1495,11.07873619022101,0.376307162939946,5,10,NA
23963,Olfr1466,Olfr1495,10.074149276530663,0.372661593380744,5,10,NA
23964,Olfr1467,Olfr1495,5.610387956977472,0.379471745394004,5,10,NA
23965,Olfr1469,Olfr1495,9.03917163465356,0.379134372154332,5,10,NA
23966,Olfr1471,Olfr1495,10.949626670870963,0.380733972577947,5,10,NA
23967,Olfr1472,Olfr1495,15.781860924154143,0.357250764309957,5,10,NA
23968,Olfr1474,Olfr1495,5.366452739529437,0.392732008922108,5,10,NA
23969,Olfr1477,Olfr1495,15.781860924154143,0.399134009560162,5,10,NA
23970,Olfr1480,Olfr1495,7.36850721066056,0.35873052448313,5,10,NA
23971,Olfr1484,Olfr1495,9.988177128460407,0.404796611034617,5,10,NA
23972,Olfr1487,Olfr1495,9.895812735192655,0.403332616768264,5,10,NA
23973,Olfr1489,Olfr1495,10.963749668611483,0.401014440157847,5,10,NA
23974,Olfr1490,Olfr1495,7.043278797796258,0.484084171393775,10,10,10
23975,Olfr1491,Olfr1495,6.945347942573471,0.819991674252053,10,10,10
23976,Olfr1493-ps1,Olfr1495,5.958642215478312,0.486381214170252,,10,NA
23977,Olfr1494,Olfr1495,6.945347942573471,0.807719931456437,10,10,10
23978,Olfr1444,Olfr1496,11.943721640699374,0.440094924945384,5,1,NA
23979,Olfr1446,Olfr1496,13.085377681503436,0.409929821559545,5,1,NA
23980,Olfr1447,Olfr1496,6.590305097419197,0.401377129831492,5,1,NA
23981,Olfr1448,Olfr1496,13.33755828857714,0.440804741391495,5,1,NA
23982,Olfr1450,Olfr1496,1.1636124475717409,0.429857771944731,5,1,NA
23983,Olfr1454,Olfr1496,17.34492751840177,0.436222517396772,5,1,NA
23984,Olfr1458,Olfr1496,7.790289034443215,0.423250742847126,,1,NA
23985,Olfr1459,Olfr1496,6.1984361686698355,0.449413710934111,5,1,NA
23986,Olfr1461,Olfr1496,14.267381327065797,0.434656862968482,5,1,NA
23987,Olfr1463,Olfr1496,16.523651994822306,0.415046320011511,5,1,NA
23988,Olfr1466,Olfr1496,13.056778226985616,0.423384492492698,5,1,NA
23989,Olfr1467,Olfr1496,7.8412379274579775,0.431390121116521,5,1,NA
23990,Olfr1469,Olfr1496,1.6613453547315002,0.401747129058011,5,1,NA
23991,Olfr1471,Olfr1496,16.082732758392897,0.4381087607617,5,1,NA
23992,Olfr1472,Olfr1496,17.676941657816283,0.433494394844079,5,1,NA
23993,Olfr1474,Olfr1496,5.311351754169527,0.432308226902111,5,1,NA
23994,Olfr1477,Olfr1496,17.676941657816283,0.428951773182361,5,1,NA
23995,Olfr1480,Olfr1496,2.35332752310464,0.384623455892893,5,1,NA
23996,Olfr1484,Olfr1496,2.723307922354621,0.409706304753897,5,1,NA
23997,Olfr1487,Olfr1496,3.7729818221588,0.435111751864966,5,1,NA
23998,Olfr1489,Olfr1496,15.381739489085607,0.442193199947562,5,1,NA
23999,Olfr1490,Olfr1496,2.433041864615666,0.339755135962711,10,1,NA
24000,Olfr1491,Olfr1496,3.303534002970716,0.41686845242199,10,1,NA
24001,Olfr1493-ps1,Olfr1496,2.808670171097901,0.349832925388033,,1,NA
24002,Olfr1494,Olfr1496,3.303534002970716,0.421442094477723,10,1,NA
24003,Olfr1495,Olfr1496,7.442471546335335,0.399185569682888,10,1,NA
24004,Olfr1444,Olfr1497,5.042372085429179,0.503423283755742,5,9,NA
24005,Olfr1446,Olfr1497,4.661450123263302,0.461799649416887,5,9,NA
24006,Olfr1447,Olfr1497,7.257324471933694,0.46346115095032,5,9,NA
24007,Olfr1448,Olfr1497,4.845805104653418,0.482910970570569,5,9,NA
24008,Olfr1450,Olfr1497,9.114117170612223,0.445519626811844,5,9,NA
24009,Olfr1454,Olfr1497,12.036866205014611,0.455466930400308,5,9,NA
24010,Olfr1458,Olfr1497,1.3028942296789432,0.443687071808656,,9,NA
24011,Olfr1459,Olfr1497,8.379520461450156,0.458072564643181,5,9,NA
24012,Olfr1461,Olfr1497,12.996890943110891,0.477528462025969,5,9,NA
24013,Olfr1463,Olfr1497,8.775366499617157,0.466584204528152,5,9,NA
24014,Olfr1466,Olfr1497,8.161344954791431,0.45763802930619,5,9,NA
24015,Olfr1467,Olfr1497,7.837628916249997,0.467462619245898,5,9,NA
24016,Olfr1469,Olfr1497,10.444357739305,0.451311213130426,5,9,NA
24017,Olfr1471,Olfr1497,8.655047083447164,0.454772390424464,5,9,NA
24018,Olfr1472,Olfr1497,13.91327914253651,0.443890274314214,5,9,NA
24019,Olfr1474,Olfr1497,5.4485590563141,0.462691790726839,5,9,NA
24020,Olfr1477,Olfr1497,13.91327914253651,0.441874023752118,5,9,NA
24021,Olfr1480,Olfr1497,8.33611834786731,0.414149259711016,5,9,NA
24022,Olfr1484,Olfr1497,11.279405307507387,0.436139120045824,5,9,NA
24023,Olfr1487,Olfr1497,10.760553905990548,0.460631273985225,5,9,NA
24024,Olfr1489,Olfr1497,8.737835117252033,0.459620454981927,5,9,NA
24025,Olfr1490,Olfr1497,9.014531944024117,0.383173521442973,10,9,NA
24026,Olfr1491,Olfr1497,7.650263278291149,0.413549545951586,10,9,NA
24027,Olfr1493-ps1,Olfr1497,7.970341876732096,0.381349257246099,,9,NA
24028,Olfr1494,Olfr1497,7.650263278291149,0.416236737077497,10,9,NA
24029,Olfr1495,Olfr1497,2.3033726643848724,0.382943456263755,10,9,NA
24030,Olfr1496,Olfr1497,8.970343408950637,0.365896556449223,1,9,NA
24031,Olfr1444,Olfr1499,9.680522900357031,0.517832415421675,5,9,NA
