,MDS1,MDS2
Or10J5,17.29005161032057,33.27205626489797
Or10J7,19.588856327674186,34.64479909640449
Or10K2,27.798549874265778,-18.921582856883138
Or10N1,-50.979916418211566,-30.263284103708834
Or10P1,-1.0048454667763702,28.63560949530566
Or10P21,-4.815922506944673,36.7341936847878
Or10P22,-3.019605324491885,35.17997853529587
Or10Q1,1.1901681213862303,-42.537576899921035
Or10Q12,-39.89087573976822,41.46573898086968
Or10Q1B,13.980104948266524,-27.833420055225794
Or10Q3,-34.531293145192336,28.849265416325977
Or10S1,-20.064826076693745,0.7560782433252684
Or10U3,-2.031047280727323,22.177183163364326
Or10U4,3.8014663129478685,19.064552631761575
Or10V1,-26.987077599119907,29.29517981234335
Or10V5,-25.048432204925344,36.78336069963105
Or10V9,-22.177904476627997,36.02002138389366
Or10W1,18.79331248783751,-34.319961521809745
Or10X1,-35.34242730720946,45.61660941330088
Or10X4,-33.81391977320365,39.19929785506318
Or10Z1,-35.016962879390576,48.379427824813185
Or11A4,17.84590978090733,3.7734023725406254
Or11G1,26.203483262859507,-31.669249014636428
Or11G2,25.038176662268782,-28.5965851240763
Or11G24,21.62073025117533,-26.016121257236616
Or11G25,26.03767364380076,-30.94489291887193
Or11G26,24.096824392957895,-26.685411614635
Or11G27,-31.173657404530434,38.4192236831047
Or11G7,21.564375577903615,-24.372468285638874
Or11H23,11.835138660514042,-7.887078385448678
Or11H4,13.503890430644256,-12.63921312792109
Or11H4B,11.975603625450928,-11.481959871966241
Or11H6,-12.110267374481614,51.49142127961874
Or11H7,6.50316478837636,-7.407186704578277
Or11I1,6.658284517716871,-14.468386250669848
Or11J4,-32.6154357312031,40.0322213004086
Or11L3,-3.2590802885246166,9.967688229275915
Or11M3,8.11611587051808,-13.17011992447546
Or11N2,-22.13120279471772,55.7205987319413
Or11Q2,24.537525512172085,-16.809674861179374
Or12D12,-8.309037896586112,-7.447749132964161
Or12D13,-2.2877274008783863,-2.746065314659648
Or12D17,-9.234186772283403,-21.046145323884726
Or12D2,-11.534329774538127,-12.373466822451604
Or12E1,12.939679155749035,-8.30302230764752
Or12E10,5.96710373388617,-0.9719577903386377
Or12E13,3.3571930182626266,5.907941831962372
Or12E7,8.373554094076498,1.3456302583446635
Or12E8,22.386690543177046,15.75297083654345
Or12E9,10.468145318019108,-12.078027358202904
Or12J2,-44.86046169947987,8.542431709410847
Or12J3,-17.728955462593646,-28.00388967493666
Or12J4,-24.025125084657997,-22.217931862015742
Or12J5,-54.07413643215224,8.78056636425707
Or12K5,-10.824931953932778,-4.097244299318095
Or12K7,-17.68684971033337,-5.8781756079805545
Or12K8,-14.30336146370585,-6.8322700579977775
Or13A1,-48.080225736126515,4.3030608680255575
Or13A17,-50.01181318210664,1.134775201335411
Or13A18,-48.115497110999264,-0.818583045026601
Or13A19,-49.04245893876672,7.655331249175571
Or13A20,-46.95637943152563,2.1060897475025993
Or13A21,-48.62522444678298,8.363729376648124
Or13A22,-49.963204358357764,3.1832419637707257
Or13A24,-45.775723365220685,2.2856007910146863
Or13A25,-41.47244039451448,4.785606537458502
Or13A26,-46.40578922231645,3.9872561629440435
Or13A27,-22.29043967162331,-22.747487125629007
Or13A28,-46.89933922783921,0.1704768468923695
Or13Ae2,3.9598421386051674,-67.53512188066546
