,ensembl_gene_id,accession number,id
217,ENSMUSG00000049028,Q8VFJ0,Olfr873
218,ENSMUSG00000111273,A0A1L1SV77,Olfr789
219,ENSMUSG00000060765,Q5NCD2,Olfr325
220,ENSMUSG00000111456,A0A1L1SQJ6,Olfr1245
221,ENSMUSG00000071481,Q8VEV1,Olfr437
222,ENSMUSG00000061367,Q8VFH6,Olfr771
223,ENSMUSG00000073932,Q8VGX6,Olfr641
224,ENSMUSG00000073898,Q920G5,Olfr713
225,ENSMUSG00000073898,Q9EPG3,Olfr713
226,ENSMUSG00000051362,Q8VGV8,Olfr589
227,ENSMUSG00000064084,Q8VF98,Olfr1202
228,ENSMUSG00000081234,Q8VGT7,Olfr1120
229,ENSMUSG00000056782,Q7TRP4,Olfr667
230,ENSMUSG00000049708,Q9EQ90,Olfr27
231,ENSMUSG00000095322,Q9EQB7,Olfr957
232,ENSMUSG00000095957,Q7TRG9,Olfr832
233,ENSMUSG00000109219,Q7TQX5,Olfr1299
234,ENSMUSG00000044025,Q8VGJ3,Olfr790
235,ENSMUSG00000044025,Q7TRI0,Olfr790
236,ENSMUSG00000075219,Q8VF73,Olfr994
237,ENSMUSG00000049372,Q8VFF8,Olfr1183
238,ENSMUSG00000049372,A0A2I3BQA3,Olfr1183
239,ENSMUSG00000052508,Q8VFE9,Olfr536
240,ENSMUSG00000052508,A0A1B0GT87,Olfr536
241,ENSMUSG00000067545,Q7TQS2,Olfr1419
242,ENSMUSG00000071065,Q8VFI2,Olfr806
243,ENSMUSG00000062878,Q7TS06,Olfr298
244,ENSMUSG00000075161,A2AT96,Olfr1109
245,ENSMUSG00000051051,Q7TRU1,Olfr523
246,ENSMUSG00000051051,Q8VFE7,Olfr523
247,ENSMUSG00000050853,Q8VEY3,Olfr958
248,ENSMUSG00000095484,A0A140LIR8,Olfr1480
249,ENSMUSG00000095484,Q7TQQ6,Olfr1480
250,ENSMUSG00000101391,Q8VGG1,Olfr1217
251,ENSMUSG00000056946,Q8VFZ4,Olfr512
